'text','language_code','translation','translation_language_code','cefr','topic'
'small','en','маленький','ru','a1',
'smart','en','умный','ru','a1',
'smell','en','запах','ru','a1',
'smile','en','улыбка','ru','a1',
'smith','en','Смит','ru','a1',
'smoke','en','курить','ru','a1',
'smoking','en','курение','ru','a1',
'snake','en','змея','ru','a1',
'snow','en','снег','ru','a1',
'snowy','en','снежный','ru','a1',
'so','en','так','ru','a1',
'soccer','en','футбольный','ru','a1',
'social','en','социальный','ru','a1',
'sofa','en','диван','ru','a1',
'solve','en','решать','ru','a1',
'some','en','некоторый','ru','a1',
'someone','en','кто-то','ru','a1',
'something','en','что-нибудь','ru','a1',
'son','en','сын','ru','a1',
'song','en','песня','ru','a1',
'soon','en','скоро','ru','a1',
'sorry','en','извини','ru','a1',
'soup','en','суп','ru','a1',
'speak','en','говорить','ru','a1',
'special','en','особенный','ru','a1',
'speech','en','речь','ru','a1',
'spell','en','заклинание','ru','a1',
'spend','en','тратить','ru','a1',
'sport','en','спорт','ru','a1',
'spot','en','место','ru','a1',
'spring','en','весна','ru','a1',
'spy','en','шпион','ru','a1',
'stage','en','этап','ru','a1',
'stand','en','стоять','ru','a1',
'star','en','звезда','ru','a1',
'start','en','начинать','ru','a1',
'station','en','станция','ru','a1',
'stay','en','оставаться','ru','a1',
'step','en','шаг','ru','a1',
'still','en','все еще','ru','a1',
'stone','en','камень','ru','a1',
'stop','en','останавливаться','ru','a1',
'store','en','магазин','ru','a1',
'story','en','история','ru','a1',
'straight','en','прямой','ru','a1',
'strange','en','странный','ru','a1',
'street','en','улица','ru','a1',
'strict','en','строгий','ru','a1',
'strong','en','сильный','ru','a1',
'student','en','студент','ru','a1',
'study','en','изучать','ru','a1',
'subject','en','предмет','ru','a1',
'subway','en','метро','ru','a1',
'successful','en','успешный','ru','a1',
'sugar','en','сахар','ru','a1',
'suggestion','en','предположение','ru','a1',
'sum','en','сумма','ru','a1',
'summer','en','лето','ru','a1',
'sun','en','солнце','ru','a1',
'Sunday','en','Воскресенье','ru','a1',
'sunny','en','солнечный','ru','a1',
'sunshine','en','солнечный свет','ru','a1',
'super','en','супер','ru','a1',
'supermarket','en','супермаркет','ru','a1',
'sure','en','конечно','ru','a1',
'surf','en','заниматься серфингом','ru','a1',
'surprise','en','сюрприз','ru','a1',
'survey','en','опрос','ru','a1',
'sweet','en','сладкий','ru','a1',
'swim','en','плавать','ru','a1',
'swimming','en','плавание','ru','a1',
'swimming pool','en','бассейн','ru','a1',
'table','en','стол','ru','a1',
'take','en','брать','ru','a1',
'talk','en','разговаривать','ru','a1',
'tall','en','высокий','ru','a1',
'taxi','en','такси','ru','a1',
'tea','en','чай','ru','a1',
'teach','en','учить','ru','a1',
'teacher','en','учитель','ru','a1',
'team','en','команда','ru','a1',
'technology','en','технология','ru','a1',
'telephone','en','телефон','ru','a1',
'television','en','телевидение','ru','a1',
'tell','en','рассказывать','ru','a1',
'temple','en','храм','ru','a1',
'ten','en','десять','ru','a1',
'tennis','en','теннис','ru','a1',
'terrible','en','ужасный','ru','a1',
'test','en','тест','ru','a1',
'than','en','чем','ru','a1',
'thank','en','благодарить','ru','a1',
'thanks','en','Спасибо','ru','a1',
'that','en','что','ru','a1',
'the','en','тот','ru','a1',
'theater','en','театр','ru','a1',
'their','en','их','ru','a1',
'them','en','их','ru','a1',
'then','en','затем','ru','a1',
'there','en','там','ru','a1',
'these','en','эти','ru','a1',
'they','en','они','ru','a1',
'thick','en','толстый','ru','a1',
'thin','en','тонкий','ru','a1',
'thing','en','вещь','ru','a1',
'think','en','думать','ru','a1',
'thirteen','en','тринадцать','ru','a1',
'thirty','en','тридцать','ru','a1',
'this','en','этот','ru','a1',
'those','en','те','ru','a1',
'three','en','три','ru','a1',
'through','en','через','ru','a1',
'throw','en','бросать','ru','a1',
'Thursday','en','Четверг','ru','a1',
'ticket','en','билет','ru','a1',
'tiger','en','тигр','ru','a1',
'tight','en','тугой','ru','a1',
'time','en','время','ru','a1',
'tired','en','усталый','ru','a1',
'to','en','к','ru','a1',
'today','en','сегодня','ru','a1',
'together','en','вместе','ru','a1',
'toilet','en','туалет','ru','a1',
'tomato','en','помидор','ru','a1',
'tomorrow','en','завтра','ru','a1',
'tonight','en','сегодня вечером','ru','a1',
'too','en','слишком','ru','a1',
'tool','en','инструмент','ru','a1',
'tooth','en','зуб','ru','a1',
'top','en','вершина','ru','a1',
'topic','en','тема','ru','a1',
'touch','en','трогать','ru','a1',
'towel','en','полотенце','ru','a1',
'tower','en','башня','ru','a1',
'town','en','город','ru','a1',
'toy','en','игрушка','ru','a1',
'train','en','тренироваться','ru','a1',
'travel','en','путешествовать','ru','a1',
'tree','en','дерево','ru','a1',
'trip','en','путешествие','ru','a1',
'trousers','en','брюки','ru','a1',
'truck','en','грузовик','ru','a1',
'true','en','истинный','ru','a1',
'try','en','пытаться','ru','a1',
't-shirt','en','футболка','ru','a1',
'tube','en','трубка','ru','a1',
'tuesday','en','вторник','ru','a1',
'turkey','en','турция','ru','a1',
'turn','en','повернуть','ru','a1',
'TV','en','ТВ','ru','a1',
'twelve','en','двенадцать','ru','a1',
'twenty','en','двадцать','ru','a1',
'two','en','два','ru','a1',
'type','en','тип','ru','a1',
'ugly','en','уродливый','ru','a1',
'umbrella','en','зонтик','ru','a1',
'uncle','en','дядя','ru','a1',
'under','en','под','ru','a1',
'underline','en','подчеркнуть','ru','a1',
'until','en','до','ru','a1',
'up','en','вверх','ru','a1',
'us','en','нас','ru','a1',
'use','en','использовать','ru','a1',
'usually','en','обычно','ru','a1',
'vacation','en','отпуск','ru','a1',
'vase','en','ваза','ru','a1',
'vegetable','en','овощной','ru','a1',
'very','en','очень','ru','a1',
'video','en','видео','ru','a1',
'visit','en','посещать','ru','a1',
'volleyball','en','волейбол','ru','a1',
'vote','en','голосование','ru','a1',
'wait','en','ждать','ru','a1',
'waiter','en','официант','ru','a1',
'waitress','en','официантка','ru','a1',
'wake','en','будить','ru','a1',
'walk','en','ходить','ru','a1',
'wall','en','стена','ru','a1',
'want','en','хотеть','ru','a1',
'war','en','война','ru','a1',
'warm','en','теплый','ru','a1',
'was','en','был','ru','a1',
'wash','en','стирать','ru','a1',
'watch','en','смотреть','ru','a1',
'water','en','вода','ru','a1',
'way','en','способ','ru','a1',
'we','en','мы','ru','a1',
'wear','en','носить','ru','a1',
'weather','en','погода','ru','a1',
'Wednesday','en','Среда','ru','a1',
'week','en','неделя','ru','a1',
'weekend','en','выходные','ru','a1',
'welcome','en','добро пожаловать','ru','a1',
'well','en','хорошо','ru','a1',
'were','en','были','ru','a1',
'what','en','что','ru','a1',
'wheel','en','колесо','ru','a1',
'when','en','когда','ru','a1',
'where','en','где','ru','a1',
'which','en','который','ru','a1',
'white','en','белый','ru','a1',
'who','en','ВОЗ','ru','a1',
'whose','en','чей','ru','a1',
'why','en','почему','ru','a1',
'wife','en','жена','ru','a1',
'will','en','воля','ru','a1',
'win','en','победить','ru','a1',
'wind','en','ветер','ru','a1',
'window','en','окно','ru','a1',
'winter','en','зима','ru','a1',
'wish','en','желание','ru','a1',
'with','en','с','ru','a1',
'woman','en','женщина','ru','a1',
'wonderful','en','замечательный','ru','a1',
'word','en','слово','ru','a1',
'work','en','работа','ru','a1',
'worker','en','рабочий','ru','a1',
'world','en','мир','ru','a1',
'worry','en','волноваться','ru','a1',
'would','en','бы','ru','a1',
'write','en','писать','ru','a1',
'writer','en','писатель','ru','a1',
'wrong','en','неправильный','ru','a1',
'yard','en','площадка','ru','a1',
'year','en','год','ru','a1',
'yellow','en','желтый','ru','a1',
'yes','en','да','ru','a1',
'yesterday','en','вчера','ru','a1',
'yet','en','еще','ru','a1',
'yogurt','en','йогурт','ru','a1',
'you','en','ты','ru','a1',
'young','en','молодой','ru','a1',
'your','en','твой','ru','a1',
'yours','en','твой','ru','a1',
'yourself','en','сам','ru','a1',
'zoo','en','зоопарк','ru','a1',
